NUMVA     Northumberland, VA	
NYKNY     New York, NY
OCNNJ     Ocean, NJ	
OHIWV     Ohio, WV	
ONDNY     Oneida, NY	
ONONY     Onondaga, NY	
ONTNY     Ontario, NY	
ORGNY     Orange, NY	
ORGVA     Orange, VA	
ORLNY     Orleans, NY	
OSGNY     Oswego, NY	
OTSNY     Otsego, NY	
PAGVA     Page, VA	
PASNJ     Passaic, NJ	
PATVA     Patrick, VA	
PENWV     Pendleton, WV 	
PERPA     Perry, PA	
PHIPA     Philadelphia, PA	
PIKPA     Pike, PA	
PITVA     Pittsylvania, VA	
PLEWV     Pleasants, WV 	
POCWV     Pocahontas, WV 	
POTPA     Potter, PA	
POWVA     Powhatan, VA	
PREVA     Prince Edward, VA	
PRGMD     Prince Georges, MD 	
PRGVA     Prince George, VA	
PRSWV     Preston, WV	
PRWVA     Prince William, VA	
PULVA     Pulaski, VA	
PUTNY     Putnam, NY	
PUTWV     Putnam, WV 	
QANMD     Queen Annes, MD 	
QUNNY     Queens, NY	
RALWV     Raleigh, WV 	
RANWV     Randolph, WV 	
RAPVA     Rappahannock, VA	
RBRVA     Rockbridge, VA	
RENNY     Rensselaer, NY	
RHMVA     Rockingham, VA	
RICNY     Richmond, NY	
RICVA     Richmond, VA	
RITWV     Ritchie, WV	
RKLNY     Rockland, NY	
RNEWV     Roane, WV 	
ROAVA     Roanoke, VA	
RUSVA     Russell, VA	
SALNJ     Salem, NJ	
SARNY     Saratoga, NY	
SCHNY     Schuyler, NY	
SCHPA     Schuylkill, PA	
SCOVA     Scott, VA	
SCTNY     Schenectady, NY	
SENNY     Seneca, NY	
SFKNY     Suffolk, NY	
SHAVA     Southampton, VA	
SHEVA     Shenandoah, VA	
SHHNY     Schoharie, NY	
SMYVA     Smyth, VA	
SNYPA     Snyder, PA	
SOMMD     Somerset, MD 	
SOMNJ     Somerset, NJ	
SOMPA     Somerset, PA	
SPOVA     Spotsylvania, VA	
STAVA     Stafford, VA	
STBNY     Steuben, NY	
STLNY     ST Lawrence, NY	
STMMD     ST Marys, MD 	
SULNY     Sullivan, NY	
SULPA     Sullivan, PA	
SUMWV     Summers, WV 	
SURVA     Surry, VA	
SUSDE     Sussex, DE	
SUSNJ     Sussex, NJ	
SUSPA     Susquehanna, PA	
SUSVA     Sussex, VA	
TALMD     Talbot, MD 	
TAZVA     Tazewell, VA	
TIONY     Tioga, NY	
TIOPA     Tioga, PA	
TLRWV     Taylor, WV 	
TOMNY     Tompkins, NY	
TUKWV     Tucker, WV	
TYLWV     Tyler, WV 	
ULSNY     Ulster, NY	
UNINJ     Union, NJ	
UNIPA     Union, PA	
UPSWV     Upshur, WV 	
VENPA     Venango, PA	
WARNJ     Warren, NJ	
WARNY     Warren, NY	
WARPA     Warren, PA	
WARVA     Warren, VA	
WASMD     Washington, MD 	
WASNY     Washington, NY	
WASPA     Washington, PA	
WASVA     Washington, VA	
WAYNY     Wayne, NY	
WAYPA     Wayne, PA	
WAYWV     Wayne, WV 	
WEBWV     Webster, WV	
WESNY     Westchester, NY	
WESPA     Westmoreland, PA	
WESVA     Westmoreland, VA	
WETWV     Wetzel, WV 	
WICMD     Wicomico, MD 	
WISVA     Wise, VA	
WORMD     Worchester, MD  	
WRTWV     Wirt, WV 	
WUDWV     Wood, WV 	
WYONY     Wyoming, NY	
WYOPA     Wyoming, PA	
WYOWV     Wyoming, WV
WYTVA     Wythe, VA	
YORPA     York, PA	
YORVA     York, VA	
YTSNY     Yates, NY	
